Common,Species,Dataset,daylight    ,twilight,darkness,Primary.Activity,Secondary.Activity,Secondary.Activity.Simple
Black flying squirrel,Aeromys tephromelas,all,0,4,13,mostly nocturnal,NA,
Black flying squirrel,Aeromys tephromelas,unlogged,0,3,7,mostly nocturnal,NA,
Black flying squirrel,Aeromys tephromelas,logged,0,1,6,mostly nocturnal,NA,
Thomas' flying squirrel,Aeromys thomasi,all,0,7,52,mostly nocturnal,NA,
Ear-spot squirrel,Callosciurus adamsi,all,10,3,0,mostly diurnal,crepuscular  tendencies,crepuscular
Prevost's squirrel,Callosciurus prevostii,all,217,109,0,mostly diurnal,crepuscular  tendencies,crepuscular
Prevost's squirrel,Callosciurus prevostii,unlogged,114,40,0,mostly diurnal,NA,
Prevost's squirrel,Callosciurus prevostii,logged,103,69,0,mostly diurnal,crepuscular  tendencies,crepuscular
Red giant flying squirrel,Petaurista petaurista,all,0,7,30,mostly nocturnal,NA,
Giant squirrel,Ratufa affinis,all,95,5,0,strictly diurnal,NA,
Giant squirrel,Ratufa affinis,unlogged,67,1,0,strictly diurnal,NA,
Giant squirrel,Ratufa affinis,logged,28,4,0,mostly diurnal,NA,
Tufted ground squirrel,Rheithrosciurus macrotis,all,46,7,0,mostly diurnal,NA,
Tufted ground squirrel,Rheithrosciurus macrotis,unlogged,37,7,0,mostly diurnal,NA,
Tufted ground squirrel,Rheithrosciurus macrotis,logged,9,0,0,strictly diurnal,NA,
Horse-tailed squirrel,Sundasciurus hippurus,all,4,10,0,crepuscular,diurnal  tendencies,diurnal
Horse-tailed squirrel,Sundasciurus hippurus,unlogged,1,4,0,crepuscular,diurnal  tendencies,diurnal
Horse-tailed squirrel,Sundasciurus hippurus,logged,3,6,0,crepuscular,diurnal  tendencies,diurnal
Horse-tailed squirrel,Sundasciurus hippurus,canopy,0,8,0,crepuscular,NA,
Horse-tailed squirrel,Sundasciurus hippurus,terrestrial,4,2,0,mostly diurnal,crepuscular  tendencies,crepuscular
Long-tailed giant rat,Leopoldamys sabanus,all,0,2,11,mostly nocturnal,NA,
Brown spiny rat,Maxomys rajah,all,0,2,32,strictly nocturnal,NA,
Malay porcupine,Hystrix brachyura,all,0,12,103,strictly nocturnal,NA,
Malay porcupine,Hystrix brachyura,unlogged,0,7,59,mostly nocturnal,NA,
Malay porcupine,Hystrix brachyura,logged,0,5,44,strictly nocturnal,NA,
Thick-spined porcupine,Hystrix crassispinis,all,0,14,115,mostly nocturnal,NA,
Thick-spined porcupine,Hystrix crassispinis,unlogged,0,10,107,strictly nocturnal,NA,
Thick-spined porcupine,Hystrix crassispinis,logged,0,4,8,mostly nocturnal,NA,
Long-tailed porcupine,Trichys fasciculata,all,0,8,41,mostly nocturnal,NA,
Long-tailed porcupine,Trichys fasciculata,unlogged,0,8,33,mostly nocturnal,NA,
Long-tailed porcupine,Trichys fasciculata,logged,0,0,8,strictly nocturnal,NA,
